,online,reservations,rating,votes,location,rest_type,cost_for_two,type
26186,Yes,No,4.3,911,Ulsoor,Casual Dining,2000,Delivery
7269,Yes,No,4.0,571,Koramangala 1st Block,Casual Dining,600,Delivery
28360,Yes,No,2.8,97,Indiranagar,Casual Dining,600,Dine-out
7929,Yes,No,3.8,24,BTM,Cafe,700,Delivery
12982,No,No,3.5,15,Indiranagar,Other,200,Delivery
7166,Yes,No,3.3,10,Koramangala 5th Block,"Takeaway, Delivery",500,Delivery
12869,Yes,No,4.1,720,Koramangala 6th Block,Delivery,700,Delivery
23347,No,No,3.4,7,Residency Road,Quick Bites,500,Dine-out
5867,Yes,No,3.0,9,Brookefield,Quick Bites,400,Delivery
27243,Yes,No,3.9,365,New BEL Road,Cafe,900,Dine-out
4761,Yes,No,3.7,29,Ulsoor,Bakery,300,Desserts
26770,Yes,Yes,4.4,3712,Lavelle Road,Other,1300,Drinks & nightlife
882,Yes,No,3.9,158,Bannerghatta Road,"Takeaway, Delivery",400,Delivery
13893,No,No,3.3,4,Domlur,"Casual Dining, Bar",800,Pubs and bars
29725,No,No,3.3,5,Wilson Garden,Quick Bites,300,Dine-out
557,No,No,3.73178,0,Banashankari,Other,200,Dine-out
1960,No,No,3.2,4,Bannerghatta Road,Quick Bites,400,Dine-out
13331,Yes,No,4.4,105,Indiranagar,Cafe,200,Dine-out
1207,Yes,No,3.2,6,Bannerghatta Road,Quick Bites,350,Delivery
25552,Yes,No,3.5,11,Marathahalli,Casual Dining,600,Dine-out
7684,Yes,No,3.5,270,BTM,Other,600,Delivery
16859,No,No,3.4,6,Banaswadi,"Casual Dining, Bar",700,Dine-out
26086,Yes,No,4.3,179,Indiranagar,Other,250,Delivery
22922,No,Yes,4.1,1339,Lavelle Road,"Casual Dining, Bar",2100,Dine-out
12021,No,No,3.73178,0,Bommanahalli,Other,350,Desserts
10485,No,No,4.0,135,Electronic City,Other,400,Desserts
19595,Yes,No,4.0,76,Koramangala 3rd Block,Quick Bites,300,Delivery
3630,No,No,3.73178,0,Bellandur,Other,1000,Dine-out
1708,No,No,4.0,319,JP Nagar,Dessert Parlor,500,Desserts
29156,Yes,No,4.2,1734,Malleshwaram,Other,1400,Drinks & nightlife
24842,No,No,3.7,25,Marathahalli,Other,600,Delivery
1140,Yes,No,3.6,15,Bannerghatta Road,Casual Dining,500,Delivery
19546,Yes,No,3.7,32,Koramangala 6th Block,Casual Dining,700,Delivery
6207,Yes,No,4.0,121,"Varthur Main Road, Whitefield",Casual Dining,800,Delivery
29453,No,Yes,4.3,497,Residency Road,Other,2000,Desserts
20114,No,No,3.3,4,BTM,Quick Bites,100,Delivery
26485,No,No,4.6,4021,Residency Road,Other,1500,Dine-out
30138,Yes,No,3.4,9,Sarjapur Road,Quick Bites,300,Delivery
2660,Yes,Yes,4.1,2365,Jayanagar,Casual Dining,1500,Dine-out
25232,No,No,3.5,9,Marathahalli,Cafe,1000,Delivery
14852,Yes,No,3.73178,1313,JP Nagar,Casual Dining,750,Dine-out
1307,Yes,No,3.9,92,JP Nagar,Quick Bites,300,Delivery
18951,No,Yes,4.6,6372,Koramangala 7th Block,Other,1600,Drinks & nightlife
16212,Yes,No,3.4,9,Rammurthy Nagar,Delivery,250,Delivery
25574,Yes,No,2.6,492,Marathahalli,Other,500,Dine-out
12452,Yes,Yes,4.2,1345,Indiranagar,Casual Dining,1700,Buffet
19218,Yes,No,4.1,113,BTM,Other,400,Delivery
6905,Yes,No,3.5,5,Koramangala 4th Block,Casual Dining,800,Buffet
11927,Yes,Yes,4.1,720,HSR,Cafe,950,Desserts
14072,Yes,Yes,4.1,1547,JP Nagar,Casual Dining,1000,Delivery
9429,Yes,Yes,4.4,1112,Church Street,"Casual Dining, Bar",1200,Delivery
2151,No,No,3.73178,0,BTM,Quick Bites,300,Dine-out
24401,No,Yes,4.2,258,Sadashiv Nagar,Casual Dining,1800,Dine-out
20219,No,No,3.3,5,Koramangala 3rd Block,Delivery,500,Delivery
31583,Yes,No,4.0,112,Whitefield,Casual Dining,700,Dine-out
22800,Yes,No,3.4,7,Majestic,Casual Dining,700,Delivery
29097,Yes,No,3.4,37,Malleshwaram,Quick Bites,500,Dine-out
13283,No,Yes,4.3,4187,Indiranagar,Other,1500,Dine-out
26762,Yes,Yes,4.4,2242,Lavelle Road,Other,3000,Drinks & nightlife
25710,No,No,3.7,25,Marathahalli,Other,600,Dine-out
5004,No,Yes,4.5,550,Ulsoor,Casual Dining,1800,Dine-out
23010,No,No,4.3,2264,Church Street,Other,1100,Dine-out
15996,Yes,No,3.9,611,Banaswadi,Casual Dining,750,Delivery
25879,Yes,No,3.3,218,Brookefield,Casual Dining,600,Dine-out
1627,Yes,No,3.5,5,JP Nagar,Delivery,800,Delivery
19840,Yes,No,3.5,15,BTM,Quick Bites,400,Delivery
9714,No,Yes,3.7,41,MG Road,Casual Dining,1500,Dine-out
21315,No,Yes,4.2,327,Domlur,Casual Dining,1800,Dine-out
358,Yes,No,3.8,61,Banashankari,Quick Bites,300,Delivery
