iter	Passed	Remaining
419	1918	2648
420	1921	2643
421	1925	2637
422	1929	2631
423	1932	2625
424	1935	2619
425	1939	2613
426	1943	2607
427	1946	2601
428	1950	2595
429	1953	2589
430	1958	2585
431	1961	2579
432	1965	2573
433	1968	2567
434	1972	2562
435	1976	2556
436	1979	2550
437	1982	2544
438	1986	2538
439	1990	2533
440	1993	2527
441	1997	2521
442	2000	2515
443	2004	2510
444	2007	2504
445	2011	2498
446	2014	2492
447	2018	2486
448	2021	2480
449	2025	2475
450	2028	2469
451	2032	2463
452	2036	2459
453	2040	2453
454	2043	2448
455	2047	2442
456	2051	2437
457	2054	2431
458	2058	2426
459	2061	2420
460	2064	2414
461	2069	2409
462	2072	2403
463	2075	2398
464	2079	2392
465	2083	2387
466	2087	2382
467	2090	2376
468	2093	2370
469	2097	2365
470	2101	2360
471	2105	2355
472	2108	2349
473	2112	2343
474	2116	2339
475	2119	2333
476	2123	2328
477	2126	2322
478	2130	2316
479	2133	2311
480	2137	2306
481	2140	2300
482	2144	2295
483	2148	2290
484	2152	2285
485	2156	2280
486	2159	2274
487	2163	2269
488	2167	2265
489	2171	2260
490	2175	2254
491	2178	2249
492	2182	2244
493	2186	2239
494	2189	2233
495	2192	2228
496	2197	2223
497	2200	2218
498	2204	2213
499	2208	2208
500	2210	2202
501	2214	2196
502	2217	2191
503	2221	2185
504	2224	2180
505	2228	2175
506	2231	2170
507	2235	2164
508	2238	2159
509	2242	2154
510	2246	2149
511	2249	2144
512	2253	2138
513	2256	2133
514	2260	2128
515	2264	2123
516	2267	2118
517	2270	2112
518	2274	2107
519	2278	2102
520	2282	2098
521	2286	2093
522	2289	2088
523	2294	2084
524	2298	2079
525	2301	2074
526	2305	2068
527	2309	2064
528	2313	2059
529	2316	2054
530	2319	2049
531	2323	2044
532	2327	2039
533	2331	2034
534	2334	2029
535	2337	2023
536	2341	2019
537	2345	2014
538	2348	2008
539	2351	2003
540	2355	1998
541	2360	1994
542	2363	1989
543	2366	1984
544	2370	1979
545	2374	1974
546	2378	1969
547	2381	1964
548	2384	1958
549	2388	1954
550	2392	1949
551	2395	1944
552	2398	1938
553	2402	1933
554	2405	1928
555	2408	1923
556	2412	1918
557	2415	1913
558	2418	1908
559	2422	1903
560	2426	1898
561	2429	1893
562	2432	1888
563	2436	1883
564	2440	1878
565	2443	1873
566	2447	1868
567	2450	1863
568	2454	1859
569	2457	1853
570	2460	1848
571	2464	1843
572	2467	1839
573	2471	1834
574	2475	1829
575	2478	1824
576	2481	1819
577	2485	1814
578	2489	1810
579	2493	1805
580	2497	1801
581	2501	1796
582	2504	1791
583	2508	1786
584	2511	1781
585	2514	1776
586	2518	1771
587	2521	1767
588	2525	1762
589	2528	1757
590	2532	1752
591	2535	1747
592	2539	1742
593	2542	1737
594	2545	1732
595	2549	1728
596	2553	1723
597	2556	1718
598	2559	1713
599	2563	1708
600	2571	1707
601	2577	1703
602	2581	1699
603	2586	1695
604	2590	1691
605	2594	1686
606	2597	1681
607	2600	1676
608	2604	1672
609	2608	1667
610	2611	1662
611	2614	1657
612	2618	1653
613	2622	1648
614	2625	1643
615	2629	1638
616	2632	1634
617	2636	1629
618	2640	1624
619	2643	1620
620	2646	1615
621	2650	1610
622	2653	1605
623	2657	1601
624	2660	1596
625	2663	1591
626	2667	1587
627	2671	1582
628	2674	1577
629	2678	1572
630	2682	1568
631	2686	1564
632	2690	1559
633	2693	1554
634	2696	1550
635	2700	1545
636	2704	1541
637	2708	1536
638	2711	1532
639	2716	1528
640	2719	1523
641	2723	1518
642	2726	1513
643	2730	1509
644	2734	1504
645	2738	1500
646	2741	1495
647	2745	1491
648	2749	1486
649	2752	1482
650	2756	1477
651	2760	1473
652	2764	1468
653	2767	1464
654	2771	1459
655	2774	1454
656	2778	1450
657	2782	1446
658	2785	1441
659	2789	1436
660	2792	1432
661	2796	1427
662	2800	1423
663	2803	1418
664	2807	1414
665	2811	1409
666	2815	1405
667	2819	1401
668	2823	1396
669	2826	1392
670	2830	1387
671	2834	1383
672	2837	1378
673	2841	1374
674	2845	1370
675	2849	1365
676	2852	1361
677	2856	1356
678	2859	1352
679	2864	1347
680	2867	1343
681	2871	1338
682	2875	1334
683	2878	1330
684	2882	1325
685	2886	1321
686	2889	1316
687	2893	1312
688	2897	1307
689	2901	1303
690	2904	1298
691	2908	1294
692	2912	1290
693	2915	1285
694	2919	1281
695	2923	1276
696	2927	1272
697	2930	1268
698	2934	1263
699	2937	1259
700	2942	1255
701	2946	1250
702	2949	1246
703	2953	1241
704	2957	1237
705	2961	1233
706	2964	1228
707	2968	1224
708	2972	1220
709	2976	1215
710	2980	1211
711	2984	1207
712	2987	1202
713	2991	1198
714	2995	1193
715	2999	1189
716	3002	1185
717	3006	1181
718	3010	1176
719	3014	1172
720	3017	1167
721	3021	1163
722	3025	1159
723	3028	1154
724	3032	1150
725	3036	1146
726	3040	1141
727	3044	1137
728	3047	1133
729	3052	1128
730	3056	1124
731	3059	1120
732	3063	1115
733	3067	1111
734	3071	1107
735	3074	1102
736	3078	1098
737	3082	1094
738	3086	1090
739	3089	1085
740	3093	1081
741	3096	1076
742	3100	1072
743	3104	1068
744	3108	1063
745	3111	1059
746	3114	1054
747	3119	1051
748	3123	1046
749	3126	1042
750	3130	1037
751	3134	1033
752	3138	1029
753	3141	1025
754	3145	1020
755	3149	1016
756	3154	1012
757	3158	1008
758	3161	1003
759	3166	999
760	3169	995
761	3173	991
762	3176	986
763	3180	982
764	3185	978
765	3189	974
766	3193	970
767	3197	965
768	3200	961
769	3204	957
770	3207	952
771	3211	948
772	3215	944
773	3218	939
774	3222	935
775	3225	931
776	3229	926
777	3232	922
778	3236	918
779	3239	913
780	3242	909
781	3246	905
782	3250	900
783	3254	896
784	3257	892
785	3261	887
786	3265	883
787	3268	879
788	3271	875
789	3275	870
790	3279	866
791	3283	862
792	3287	858
793	3290	853
794	3295	849
795	3298	845
796	3302	841
797	3305	836
798	3309	832
799	3313	828
800	3316	823
801	3320	819
802	3323	815
803	3327	811
804	3331	806
805	3334	802
806	3338	798
807	3341	794
808	3345	789
809	3349	785
810	3352	781
811	3355	776
812	3360	772
813	3363	768
814	3367	764
815	3370	760
816	3374	755
817	3378	751
818	3382	747
819	3386	743
820	3390	739
821	3394	735
822	3398	730
823	3402	726
824	3408	722
825	3413	719
826	3418	715
827	3424	711
828	3429	707
829	3435	703
830	3441	699
831	3446	695
832	3451	691
833	3457	688
834	3462	684
835	3467	680
836	3473	676
837	3477	672
838	3481	668
839	3485	663
840	3490	659
841	3496	656
842	3504	652
843	3509	648
844	3513	644
845	3517	640
846	3522	636
847	3526	632
848	3529	627
849	3534	623
850	3539	619
851	3544	615
852	3549	611
853	3555	607
854	3559	603
855	3563	599
856	3569	595
857	3574	591
858	3578	587
859	3582	583
860	3586	579
861	3590	574
862	3593	570
863	3597	566
864	3602	562
865	3605	557
866	3609	553
867	3612	549
868	3617	545
869	3621	541
870	3625	536
871	3628	532
872	3632	528
873	3636	524
874	3639	519
875	3642	515
876	3646	511
877	3650	507
878	3653	502
879	3657	498
880	3661	494
881	3664	490
882	3669	486
883	3673	482
884	3677	477
885	3681	473
886	3685	469
887	3689	465
888	3693	461
889	3697	456
890	3700	452
891	3704	448
892	3707	444
893	3711	440
894	3715	435
895	3718	431
896	3722	427
897	3725	423
898	3729	419
899	3733	414
900	3736	410
901	3740	406
902	3743	402
903	3747	397
904	3751	393
905	3754	389
906	3757	385
907	3761	381
908	3765	376
909	3768	372
910	3772	368
911	3777	364
912	3782	360
913	3786	356
914	3789	352
915	3793	347
916	3796	343
917	3800	339
918	3803	335
919	3807	331
920	3811	326
921	3814	322
922	3818	318
923	3821	314
924	3825	310
925	3829	306
926	3833	301
927	3836	297
928	3840	293
929	3844	289
930	3847	285
931	3850	280
932	3854	276
933	3858	272
934	3861	268
935	3865	264
936	3868	260
937	3872	255
938	3876	251
939	3879	247
940	3882	243
941	3886	239
942	3890	235
943	3893	230
944	3897	226
945	3900	222
946	3903	218
947	3907	214
948	3911	210
949	3914	206
950	3918	201
951	3922	197
952	3926	193
953	3929	189
954	3933	185
955	3937	181
956	3941	177
957	3945	172
958	3949	168
959	3954	164
960	3958	160
961	3962	156
962	3966	152
963	3970	148
964	3974	144
965	3977	139
966	3980	135
967	3984	131
968	3988	127
969	3992	123
970	3996	119
971	3999	115
972	4004	111
973	4008	106
974	4011	102
975	4015	98
976	4019	94
977	4023	90
978	4026	86
979	4029	82
980	4033	78
981	4037	73
982	4040	69
983	4043	65
984	4047	61
985	4051	57
986	4054	53
987	4057	49
988	4061	45
989	4064	41
990	4068	36
991	4071	32
992	4075	28
993	4078	24
994	4082	20
995	4086	16
996	4090	12
997	4093	8
998	4096	4
999	4100	0
