iter	RMSE
230	0.2879974181
231	0.2879109983
232	0.2878623731
233	0.2877701874
234	0.2876929098
235	0.2875104877
236	0.2874280856
237	0.2873751506
238	0.2872269767
239	0.2871290474
240	0.2870439665
241	0.2868759289
242	0.2868050119
243	0.2866765929
244	0.2866640252
245	0.2864769353
246	0.2863582939
247	0.2863221293
248	0.2862019677
249	0.2861258048
250	0.2860172114
251	0.2859774644
252	0.2859158566
253	0.2857307467
254	0.285629235
255	0.2855049453
256	0.2854717434
257	0.2853531042
258	0.2853042404
259	0.2852380308
260	0.2851651883
261	0.285048523
262	0.2849644961
263	0.2849575892
264	0.2848338966
265	0.2847753042
266	0.2847124069
267	0.2846341925
268	0.2845839953
269	0.2844982983
270	0.2844358138
271	0.2843115202
272	0.2842775995
273	0.284202605
274	0.2840542117
275	0.2839688365
276	0.2838844646
277	0.2837947914
278	0.2837257829
279	0.2836628272
280	0.2836145977
281	0.2835561139
282	0.2834273215
283	0.2833485748
284	0.283249728
285	0.2831852118
286	0.2831412804
287	0.2829889314
288	0.2828943433
289	0.2828262705
290	0.2827232985
291	0.2826809911
292	0.2826166185
293	0.2825682714
294	0.2824976338
295	0.2824147474
296	0.2822609149
297	0.2822367381
298	0.2821607014
299	0.2821204369
300	0.2819715823
301	0.281925037
302	0.2818033114
303	0.2817448553
304	0.2816689118
305	0.2816127909
306	0.2815114517
307	0.2814714021
308	0.2814523393
309	0.2813990041
310	0.2813207758
311	0.281231125
312	0.2811819238
313	0.2811235996
314	0.2810528562
315	0.2809594581
316	0.2808558754
317	0.2807688611
318	0.2806854906
319	0.280618191
320	0.2805851611
321	0.2804890327
322	0.2804266392
323	0.2803873283
324	0.2803312651
325	0.2802411062
326	0.2801877122
327	0.2801160258
328	0.2800364815
329	0.2799421423
330	0.2798864931
331	0.279852108
332	0.2798016617
333	0.2797450012
334	0.279707811
335	0.279677947
336	0.2796388401
337	0.2794770882
338	0.2794135999
339	0.2793633666
340	0.2792792126
341	0.279204693
342	0.279148943
343	0.27909592
344	0.2789951311
345	0.2789836988
346	0.2789276588
347	0.2788458694
348	0.2787851464
349	0.2787667026
350	0.2787157345
351	0.2786597378
352	0.2785996471
353	0.2785172884
354	0.2784548178
355	0.2783027539
356	0.2782734542
357	0.2782340184
358	0.2781683278
359	0.2780933851
360	0.2780491706
361	0.278009457
362	0.277982935
363	0.2779489249
364	0.2778434846
365	0.2778151051
366	0.2777881641
367	0.2776928537
368	0.2776426911
369	0.2776101705
370	0.2775408381
371	0.2774835433
372	0.2774311613
373	0.2773501476
374	0.2773128685
375	0.2772445695
376	0.2771927049
377	0.2771354851
378	0.2771074722
379	0.2770680706
380	0.2770398408
381	0.2770015467
382	0.2769395293
383	0.2769043701
384	0.2768828025
385	0.2768062778
386	0.2767357786
387	0.2766765786
388	0.2766294815
389	0.2765464657
390	0.2765111728
391	0.2764235442
392	0.2763088546
393	0.2762576513
394	0.2761867863
395	0.276172976
396	0.2760834943
397	0.2760075456
398	0.2759041774
399	0.2757775298
400	0.2757255255
401	0.2756436232
402	0.2756061712
403	0.2755326178
404	0.275482489
405	0.2754215191
406	0.2753153699
407	0.2752903718
408	0.2752137301
409	0.2751032678
410	0.2750465281
411	0.2749975412
412	0.274947561
413	0.274913559
414	0.2748810031
415	0.2748149414
416	0.2747676615
417	0.2747305756
418	0.2746978849
419	0.2746370748
420	0.274548947
421	0.2744895388
422	0.274446164
423	0.2743188317
424	0.2742800217
425	0.2741723628
426	0.2741411439
427	0.2741051399
428	0.2740584324
429	0.2740301961
430	0.2739763975
431	0.2738964751
432	0.273802327
433	0.2737562281
434	0.2736659021
435	0.2736259606
436	0.2735855965
437	0.2735336512
438	0.2734971747
439	0.2734488084
440	0.2733868715
441	0.2733055642
442	0.2732829713
443	0.2732026174
444	0.2731648142
445	0.2731192586
446	0.2731018991
447	0.2730249476
448	0.2729369098
449	0.2728609105
450	0.2728202815
451	0.272758891
452	0.2727242965
453	0.2727003191
454	0.2726673694
455	0.2725975489
456	0.272551943
457	0.2725085878
458	0.2724593806
459	0.2724277517
460	0.2723593907
461	0.2723164837
462	0.272257899
463	0.2721631408
464	0.2721293934
465	0.2720608886
466	0.272019934
467	0.2719635647
468	0.2719364661
469	0.2718804532
470	0.2718207216
471	0.2717782337
472	0.2716967532
473	0.2716261418
474	0.2715685246
475	0.2714847028
476	0.2714325003
477	0.2713974479
478	0.2713717314
479	0.2713352092
480	0.271275111
481	0.2712125816
482	0.271169374
483	0.2711221247
484	0.271085953
485	0.2710460741
486	0.2709954092
487	0.2708965845
488	0.2708757247
489	0.2708037573
490	0.2707260299
491	0.2706781745
492	0.2706351098
493	0.2706054352
494	0.2705926472
495	0.2705391327
496	0.2705059658
497	0.2704912265
498	0.2704456689
499	0.2704074535
500	0.2704057858
501	0.2703327675
502	0.27030687
503	0.2702398423
504	0.2701897563
505	0.270147025
506	0.2700788506
507	0.2700159171
508	0.2700051956
509	0.2699619234
510	0.2698735157
511	0.2698175336
512	0.2697711902
513	0.2696722263
514	0.2695857868
515	0.2695484333
516	0.2695206487
517	0.2694848296
518	0.269417172
519	0.2693772781
520	0.2692968608
521	0.2692387694
522	0.2691790833
523	0.2691357165
524	0.2690727603
525	0.2690389274
526	0.2690003337
527	0.2689556558
528	0.268913524
529	0.268876229
530	0.2688340226
531	0.2687359011
532	0.2686818298
533	0.268646441
534	0.2685840442
535	0.2685326883
536	0.2684125236
537	0.268390165
538	0.2683482579
539	0.2682803614
540	0.2682387443
541	0.2682130218
542	0.2681509362
543	0.2680564108
544	0.2679888812
545	0.2679769026
546	0.2678921929
547	0.2678465578
548	0.2677973818
549	0.2677504694
550	0.2676709862
551	0.2676319529
552	0.2676029339
553	0.2675367163
554	0.2674977803
555	0.2674842399
556	0.2674485083
557	0.2673753604
558	0.2673590893
559	0.2672756568
560	0.2672059529
561	0.2671338241
562	0.2671050744
563	0.2670747034
564	0.2670056169
565	0.2669759788
566	0.2669078789
567	0.266811171
568	0.2667927655
569	0.2667525801
570	0.2667228914
571	0.266626835
572	0.266529265
573	0.2664304525
574	0.2663865766
575	0.2663441462
576	0.2662906908
577	0.2662205026
578	0.2661610363
579	0.266096553
580	0.2660516451
581	0.2659879348
582	0.2659183133
583	0.2658645113
584	0.2657825093
585	0.2657542369
586	0.2657226978
587	0.26566989
588	0.2656353129
589	0.2655357919
590	0.2654795055
591	0.2654634571
592	0.2654125226
593	0.2653848926
594	0.2653459139
595	0.2652565223
596	0.2652306725
597	0.2651877866
598	0.2651724045
599	0.2651481951
600	0.2650831675
601	0.26500574
602	0.2649427539
603	0.2648941541
604	0.2648305569
605	0.2647868884
606	0.2647408548
607	0.2646289036
608	0.2646231579
609	0.2645854453
610	0.264576576
611	0.2645132083
612	0.2644373099
613	0.2644093123
614	0.2643530752
615	0.2643202599
616	0.2642401152
617	0.2641951694
618	0.2641692371
619	0.264111592
620	0.2640931845
621	0.2640372014
622	0.2639786978
623	0.2639017093
624	0.2638369431
625	0.2638132717
626	0.263778372
627	0.2637210966
628	0.2636443242
629	0.2635878256
630	0.2635285134
631	0.2634477318
632	0.2634235054
633	0.263401464
634	0.2633494991
635	0.2632976823
636	0.2632563152
637	0.2631853545
638	0.2631518863
639	0.2631283886
640	0.2630856867
641	0.2630217948
642	0.2629041657
643	0.2628515629
644	0.2628212299
645	0.2627881681
646	0.2627615894
647	0.26268036
648	0.2626339327
649	0.2626057992
650	0.2625453689
651	0.2625082075
652	0.2624720916
653	0.2624353147
654	0.2624042804
655	0.2623059688
656	0.2622608849
657	0.2621679269
658	0.2621414988
659	0.2620525541
660	0.2620279325
661	0.2620049613
662	0.2619664272
663	0.2619316409
664	0.2618826963
665	0.2618607153
666	0.2618098033
667	0.2617559464
668	0.2617373781
669	0.2617026117
670	0.2616747306
671	0.2616415271
672	0.261606394
673	0.2615615516
674	0.2615384144
675	0.2615017779
676	0.2614770987
677	0.2614614055
678	0.2614284538
679	0.2613751544
680	0.2613416688
681	0.2613004251
682	0.2612763676
683	0.2612427528
684	0.2611956493
685	0.2611480265
686	0.2611111466
687	0.2610661024
688	0.2610268954
689	0.2609984356
690	0.2609686385
691	0.2609219113
692	0.2609042141
693	0.2608737246
694	0.2608240777
695	0.2607813034
696	0.2607598348
697	0.2607427948
698	0.2607101178
699	0.2606619456
700	0.2605965049
701	0.2605716916
702	0.2605392338
703	0.2605117161
704	0.2604597115
705	0.2604159541
706	0.2603489606
707	0.2603281262
708	0.2602464842
709	0.2602386552
710	0.2602060476
711	0.2601486519
712	0.2601200898
713	0.2600464577
714	0.2600120427
715	0.2599777197
716	0.2599209857
717	0.2598299844
718	0.259794357
719	0.2597687298
720	0.2597533594
721	0.2597086985
722	0.2596812039
723	0.2596397736
724	0.2595828624
725	0.2595488208
726	0.2594853611
727	0.2594575451
728	0.2594075282
729	0.2593637745
730	0.259339062
731	0.2593086662
732	0.2592619924
733	0.2592141375
734	0.2591717496
735	0.2590949061
736	0.2590721526
737	0.259051344
738	0.259007446
739	0.2589656568
740	0.2589126915
741	0.2588822643
742	0.2588279027
743	0.2587698969
744	0.2587410668
745	0.2587083678
746	0.2586740887
747	0.2585934302
748	0.2585663392
749	0.2585315561
750	0.2584821805
751	0.258436215
752	0.25840869
753	0.2583747408
754	0.2583042582
755	0.2582317388
756	0.2581116461
757	0.2580897561
758	0.2580710422
759	0.257986892
760	0.2579322919
761	0.2579136414
762	0.2578627815
763	0.2578472753
764	0.2578129056
765	0.2577412485
766	0.2576375459
767	0.2575580503
768	0.2575171511
769	0.257497475
770	0.257461269
771	0.2573911969
772	0.2573541712
773	0.2572991701
774	0.2572734962
775	0.2572567837
776	0.2572510095
777	0.257228839
778	0.2572068103
779	0.2571907229
780	0.2571377869
781	0.2570636034
782	0.2570129921
783	0.2569777382
784	0.2569154935
785	0.256883044
786	0.2568163239
787	0.2567724123
788	0.2567328053
789	0.2567027988
790	0.2566647414
791	0.2566226729
792	0.25654244
793	0.2565162495
794	0.2564649427
795	0.2564441261
796	0.2564015252
797	0.2563469592
798	0.2562870696
799	0.2562680898
800	0.2562542887
801	0.2562187499
802	0.2561851234
803	0.2561449128
804	0.2561232396
805	0.2560744807
806	0.2560454123
807	0.2559876902
808	0.2559706913
809	0.2559327998
810	0.2558844816
811	0.2558535715
812	0.2557578684
813	0.2557235051
814	0.2556482283
815	0.2556050608
816	0.2555557766
817	0.2555165026
818	0.2554782324
819	0.2554048826
820	0.2553515243
821	0.255336194
822	0.2552940334
823	0.2552665428
824	0.2552421779
825	0.2552134929
826	0.2551692639
827	0.2551500754
828	0.2551130587
829	0.2550580506
830	0.2550193184
831	0.2549733554
832	0.2549358691
833	0.2548984515
834	0.2548410509
835	0.2547940756
836	0.2547561205
837	0.2547166989
838	0.2547087131
839	0.2546936425
840	0.2546750197
841	0.2546642527
842	0.2546415339
843	0.2545727184
844	0.2545055938
845	0.2544289936
846	0.2543878528
847	0.2543686322
848	0.2543245372
849	0.2542852473
850	0.25426183
851	0.2542235041
852	0.2541712491
853	0.2541184963
854	0.2540816638
855	0.2540455975
856	0.2540174598
857	0.2539910293
858	0.2539384773
859	0.2539049026
860	0.2538694405
861	0.2538476168
862	0.2538164592
863	0.2537826733
864	0.2536976784
865	0.2536491088
866	0.2536042812
867	0.2535254267
868	0.2534556353
869	0.2534239238
870	0.253383469
871	0.2533558136
872	0.2533289441
873	0.2532901535
874	0.2532685505
875	0.2532266467
876	0.2531864709
877	0.2531676749
878	0.2531417954
879	0.2530722446
880	0.2530332855
881	0.253000367
882	0.2529637638
883	0.2529240442
884	0.2528749941
885	0.2528586844
886	0.2527854483
887	0.252767832
888	0.2527036503
889	0.2526711749
890	0.2525973238
891	0.2525689843
892	0.2525220909
893	0.2524966196
894	0.2524924414
895	0.2524090648
896	0.2523537631
897	0.2523058843
898	0.2522841902
899	0.2522513851
900	0.252225421
901	0.2521960839
902	0.2521726545
903	0.2521506753
904	0.2521160403
905	0.2520790658
906	0.2520644709
907	0.2520377751
908	0.2520090113
909	0.2519913832
910	0.2519521747
911	0.2519139317
912	0.2518898446
913	0.2518615938
914	0.2518362912
915	0.2517723392
916	0.2517559831
917	0.2516948843
918	0.2516592464
919	0.2516426403
920	0.2516201084
921	0.2515703547
922	0.2515192121
923	0.2514865778
924	0.2514588885
925	0.2514260342
926	0.2513976059
927	0.2513807163
928	0.251351621
929	0.2513248094
930	0.2513057551
931	0.2512448894
932	0.2512112171
933	0.2511990231
934	0.2511537363
935	0.2511136391
936	0.2510799562
937	0.2510412862
938	0.2510212889
939	0.2509833838
940	0.2509714415
941	0.2509447524
942	0.250891044
943	0.2508519266
944	0.2507933816
945	0.2507450866
946	0.250697745
947	0.2506721783
948	0.2506049084
949	0.2505791804
950	0.2505346335
951	0.2505038486
952	0.2504446316
953	0.2504184617
954	0.2503984715
955	0.2503546642
956	0.2503243947
957	0.2503040879
958	0.2502458234
959	0.2502165393
960	0.2501463098
961	0.2501365784
962	0.2500921106
963	0.2500313024
964	0.2499815782
965	0.2499591853
966	0.2499468238
967	0.2498942929
968	0.2498397271
969	0.2497874345
970	0.2497107137
971	0.2496696115
972	0.2496531622
973	0.2496157595
974	0.2495645905
975	0.2495437253
976	0.2495246621
977	0.2494852335
978	0.2494147374
979	0.2493815262
980	0.2493466245
981	0.2493355702
982	0.249331361
983	0.2493167372
984	0.2492461142
985	0.2492126238
986	0.2492059668
987	0.2491756886
988	0.2491269291
989	0.2490752959
990	0.249057484
991	0.2490050328
992	0.2489783472
993	0.2489208745
994	0.2488812897
995	0.2488418532
996	0.2488031616
997	0.2487705262
998	0.248715177
999	0.2486920761
